EntryDate,Amount,Description
12/30/2022,-54.00,SIMON PROPERTY GROUP INC
12/30/2022,-2.50,TRIPLEPOINT VENTURE GROWTH
12/30/2022,-27.75,TRIPLEPOINT VENTURE GROWTH
12/30/2022,-10.00,TRIPLEPOINT VENTURE GROWTH
12/29/2022,-18.25,GILEAD SCIENCES INC
12/29/2022,-25.50,ARES CAPITAL CORPORATION
12/16/2022,-7.80,VIATRIS INC
12/15/2022,-27.28,REALTY INCOME CORP
12/12/2022,-16.80,WALGREEN BOOTS ALLIANCE INC
12/08/2022,-20.40,MICROSOFT CORP
12/05/2022,-14.00,PFIZER INC
12/01/2022,-70.23,ENBRIDGE INC
11/21/2022,-26.50,ENERGY TRANSFER LP
11/20/2023,-31.25,ENERGY TRANSFER LP
11/16/2023,-24.00,APPLE INC
11/15/2023,-74.00,ABBVIE INC
11/15/2023,-55.04,REALTY INCOME CORP
11/15/2022,-70.50,ABBVIE INC
11/15/2022,-27.28,REALTY INCOME CORP
11/15/2022,-9.71,KINDER MORGAN INC
11/14/2023,-17.50,ENTERPRISE PRODUCTS PARTNERS
11/10/2022,-23.00,APPLE INC
11/01/2023,-66.50,VERIZON COMMUNICATIONS
11/01/2022,-27.75,AT&T INC
11/01/2022,-27.41,VERIZON COMMUNICATIONS
10/17/2022,-32.80,STORE CAPITAL CORPORATION
10/17/2022,-26.56,NECESSITY RETAIL REIT INC(THE)
10/17/2022,-10.80,FEDERAL REALTY INVESTMENT
10/14/2022,-22.32,REALTY INCOME CORP
10/14/2022,-8.70,FRANKLIN RESOURCES INC
10/13/2023,-42.24,REALTY INCOME CORP
09/30/2022,-36.75,SIMON PROPERTY GROUP INC
09/30/2022,-23.00,ARES CAPITAL CORPORATION
09/30/2022,-18.00,TRIPLEPOINT VENTURE GROWTH
09/29/2023,-57.00,SIMON PROPERTY GROUP INC
09/29/2023,-46.55,DEVON ENERGY CORPORATION NEW
09/29/2023,-42.70,DIGITAL REALTY TRUST INC
09/29/2023,-100.00,TRIPLEPOINT VENTURE GROWTH
09/29/2023,-24.00,ARES CAPITAL CORPORATION
09/29/2022,-18.25,GILEAD SCIENCES INC
09/28/2023,-15.00,GILEAD SCIENCES INC
09/15/2023,-40.88,REALTY INCOME CORP
09/15/2023,-24.00,VIATRIS INC
09/15/2022,-14.85,REALTY INCOME CORP
09/14/2023,-20.40,MICROSOFT CORP
09/12/2023,-60.00,WALGREEN BOOTS ALLIANCE INC
09/08/2022,-18.60,MICROSOFT CORP
09/06/2022,-14.00,PFIZER INC
09/05/2023,-20.50,PFIZER INC
09/01/2023,-81.47,ENBRIDGE INC
09/01/2022,-65.32,ENBRIDGE INC
08/21/2023,-31.00,ENERGY TRANSFER LP
08/19/2022,-23.00,ENERGY TRANSFER LP
08/17/2023,-24.00,APPLE INC
08/15/2023,-74.00,ABBVIE INC
08/15/2023,-29.38,REALTY INCOME CORP
08/15/2022,-70.50,ABBVIE INC
08/15/2022,-14.85,REALTY INCOME CORP
08/15/2022,-6.94,KINDER MORGAN INC
08/14/2023,-17.50,ENTERPRISE PRODUCTS PARTNERS
08/11/2022,-23.00,APPLE INC
08/01/2023,-48.94,VERIZON COMMUNICATIONS
08/01/2022,-27.75,AT&T INC
07/15/2022,-38.50,STORE CAPITAL CORPORATION
07/15/2022,-21.25,NECESSITY RETAIL REIT INC(THE)
07/15/2022,-14.85,REALTY INCOME CORP
07/15/2022,-8.99,FRANKLIN RESOURCES INC
07/14/2023,-29.38,REALTY INCOME CORP
06/30/2023,-61.20,DEVON ENERGY CORPORATION NEW
06/30/2023,-55.50,SIMON PROPERTY GROUP INC
06/30/2023,-42.70,DIGITAL REALTY TRUST INC
06/30/2023,-100.00,TRIPLEPOINT VENTURE GROWTH
06/30/2023,-24.00,ARES CAPITAL CORPORATION
06/29/2023,-15.00,GILEAD SCIENCES INC
06/16/2023,-24.00,VIATRIS INC
06/15/2023,-29.33,REALTY INCOME CORP
06/12/2023,-48.00,WALGREEN BOOTS ALLIANCE INC
06/09/2023,-20.50,PFIZER INC
06/08/2023,-20.40,MICROSOFT CORP
06/01/2023,-82.41,ENBRIDGE INC
05/22/2023,-30.75,ENERGY TRANSFER LP
05/18/2023,-24.00,APPLE INC
05/15/2023,-74.00,ABBVIE INC
05/15/2023,-28.05,REALTY INCOME CORP
05/15/2023,-9.89,KINDER MORGAN INC
05/12/2023,-9.80,ENTERPRISE PRODUCTS PARTNERS
05/01/2023,-39.15,VERIZON COMMUNICATIONS
04/17/2023,-16.20,FEDERAL REALTY INVESTMENT
04/14/2023,-28.05,REALTY INCOME CORP
04/14/2023,-9.00,FRANKLIN RESOURCES INC
03/31/2023,-54.00,SIMON PROPERTY GROUP INC
03/31/2023,-10.00,TRIPLEPOINT VENTURE GROWTH
03/31/2023,-80.00,TRIPLEPOINT VENTURE GROWTH
03/31/2023,-24.00,ARES CAPITAL CORPORATION
03/30/2023,-15.00,GILEAD SCIENCES INC
03/17/2023,-7.80,VIATRIS INC
03/15/2023,-28.00,REALTY INCOME CORP
03/10/2023,-16.80,WALGREEN BOOTS ALLIANCE INC
03/09/2023,-20.40,MICROSOFT CORP
03/03/2023,-14.35,PFIZER INC
03/01/2023,-71.68,ENBRIDGE INC
02/21/2023,-30.50,ENERGY TRANSFER LP
02/16/2023,-23.00,APPLE INC
02/15/2023,-74.00,ABBVIE INC
02/15/2023,-27.34,REALTY INCOME CORP
02/15/2023,-9.71,KINDER MORGAN INC
02/14/2023,-9.80,ENTERPRISE PRODUCTS PARTNERS
02/01/2023,-39.15,VERIZON COMMUNICATIONS
02/01/2023,-27.75,AT&T INC
01/17/2023,-26.56,NECESSITY RETAIL REIT INC(THE)
01/17/2023,-16.20,FEDERAL REALTY INVESTMENT
01/13/2023,-27.34,REALTY INCOME CORP
01/13/2023,-9.00,FRANKLIN RESOURCES INC